Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Unique coverage (compared to other set),Status
0011-3204,Current Anthropology,9.54925E+11,1.10996E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,-1997,,ACTIVE
0011-3204,Current Anthropology,9.54925E+11,3.78E+15,University of Chicago Press Journals,getFullTxt,-1959,,ACTIVE
0011-3921,Current Sociology,9.54928E+11,1.10976E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,2005-2013,,ACTIVE
0011-3921,Current Sociology,9.54928E+11,1.11093E+14,SAGE Complete,getFullTxt,-1999,,ACTIVE
0011-3921,Current Sociology,9.54928E+11,2.56E+15,SAGE Complete Deep Backfile Purchase 2015,getFullTxt,1952-1998,,ACTIVE
0011-3921,Current Sociology,9.54928E+11,1E+15,SAGE Sociology FTC,getFullTxt,-1952,,ACTIVE
0011-3921,Current Sociology,9.54928E+11,2.56E+15,Sage CRKN Collection,getFullTxt,-1999,,ACTIVE
0012-155X,Development and Change,9.54925E+11,2.43E+15,CRKN Wiley Online Library,getFullTxt,-1997,,ACTIVE
0012-155X,Development and Change,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1998-2020,,ACTIVE
0012-155X,Development and Change,9.54925E+11,1E+15,EBSCOhost Business Source Complete,getFullTxt,1998-2020,,ACTIVE
0012-155X,Development and Change,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,1998-2020,,ACTIVE
0012-155X,Development and Change,9.54925E+11,1E+15,EBSCOhost Political Science Complete,getFullTxt,1998-2020,,ACTIVE
0012-9615,Ecological Monographs,9.54925E+11,3.79E+15,CRKN Wiley Online Library,getFullTxt,-1997,,ACTIVE
0012-9615,Ecological Monographs,9.54925E+11,3.71E+15,EBSCOhost Environment Complete,getFullTxt,2015-2020,,ACTIVE
0012-9615,Ecological Monographs,9.54925E+11,1.10994E+14,JSTOR Arts and Sciences I,getFullTxt,1931-2018,,ACTIVE
0012-9615,Ecological Monographs,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1931-2018,,ACTIVE
0012-9615,Ecological Monographs,9.54925E+11,1.11007E+14,MacEwan EBSCO Electronic Journals Service,getFullTxt,2011-2015,,ACTIVE
0012-9658,Ecology,9.54925E+11,3.79E+15,CRKN Wiley Online Library,getFullTxt,-1997,,ACTIVE
0012-9658,Ecology,9.54925E+11,1.10994E+14,JSTOR Arts and Sciences I,getFullTxt,1920-2018,,ACTIVE
0012-9658,Ecology,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1920-2018,,ACTIVE
